sensor_type,timestamp_ms,data1,data2,data3
ACCELEROMETER,1555396098546,-0.40917265,1.2442678,9.734003
GYROSCOPE,1555396098543,3.29,-0.63,-0.77
ACCELEROMETER,1555396098552,-0.40917265,1.2442678,9.734003
GYROSCOPE,1555396098548,3.43,-0.63,-0.63
ACCELEROMETER,1555396098557,-0.404387,1.3160523,9.731609
GYROSCOPE,1555396098553,3.29,-0.49,-0.56
ACCELEROMETER,1555396098562,-0.404387,1.3160523,9.731609
GYROSCOPE,1555396098558,2.94,-0.35,-0.42000002
ACCELEROMETER,1555396098567,-0.39242288,1.3519448,9.755538
GYROSCOPE,1555396098563,2.59,-0.21000001,-0.35
ACCELEROMETER,1555396098572,-0.39242288,1.3519448,9.755538
GYROSCOPE,1555396098568,2.17,-0.28,-0.28
ACCELEROMETER,1555396098577,-0.41635114,1.3639089,9.798609
GYROSCOPE,1555396098572,1.75,-0.42000002,-0.21000001
ACCELEROMETER,1555396098581,-0.41635114,1.3639089,9.798609
GYROSCOPE,1555396098578,1.75,-0.49,-0.35
ACCELEROMETER,1555396098587,-0.4546363,1.3328023,9.827322
GYROSCOPE,1555396098583,1.6800001,-0.56,-0.42000002
ACCELEROMETER,1555396098592,-0.4546363,1.3328023,9.827322
GYROSCOPE,1555396098588,1.82,-0.56,-0.49
ACCELEROMETER,1555396098596,-0.44027936,1.2945169,9.789038
GYROSCOPE,1555396098592,1.96,-0.7,-0.56
ACCELEROMETER,1555396098601,-0.44027936,1.2945169,9.789038
GYROSCOPE,1555396098597,2.38,-1.05,-0.63
ACCELEROMETER,1555396098606,-0.46660042,1.2993027,9.79143
GYROSCOPE,1555396098603,3.01,-1.19,-0.63
ACCELEROMETER,1555396098612,-0.46660042,1.2993027,9.79143
GYROSCOPE,1555396098608,3.57,-1.19,-0.84000003
ACCELEROMETER,1555396098617,-0.42592242,1.3639089,9.8727865
GYROSCOPE,1555396098613,3.99,-1.26,-0.98
ACCELEROMETER,1555396098621,-0.42592242,1.3639089,9.8727865
GYROSCOPE,1555396098618,4.2,-1.19,-1.12
ACCELEROMETER,1555396098627,-0.4307081,1.4285151,9.84168
GYROSCOPE,1555396098622,4.06,-1.19,-1.26
ACCELEROMETER,1555396098631,-0.4307081,1.4285151,9.84168
GYROSCOPE,1555396098628,3.78,-1.26,-1.26
ACCELEROMETER,1555396098637,-0.41635114,1.4333009,9.882358
GYROSCOPE,1555396098632,3.3600001,-1.19,-1.26
ACCELEROMETER,1555396098641,-0.41635114,1.4333009,9.882358
GYROSCOPE,1555396098637,3.08,-1.19,-1.19
ACCELEROMETER,1555396098646,-0.44745785,1.3902301,9.901501
GYROSCOPE,1555396098642,2.8700001,-1.19,-1.12
ACCELEROMETER,1555396098651,-0.44745785,1.3902301,9.901501
GYROSCOPE,1555396098647,2.8,-0.98,-1.12
ACCELEROMETER,1555396098656,-0.4115655,1.2897315,9.889536
GYROSCOPE,1555396098652,2.8,-0.91,-1.12
ACCELEROMETER,1555396098662,-0.4115655,1.2897315,9.889536
GYROSCOPE,1555396098658,3.01,-0.77,-1.12
ACCELEROMETER,1555396098667,-0.38763726,1.3016956,9.937392
GYROSCOPE,1555396098663,3.22,-0.56,-1.05
ACCELEROMETER,1555396098672,-0.31585258,1.3040882,9.908678
GYROSCOPE,1555396098668,3.5,-0.42000002,-1.12
ACCELEROMETER,1555396098677,-0.31585258,1.3040882,9.908678
GYROSCOPE,1555396098672,3.71,-0.28,-1.05
ACCELEROMETER,1555396098682,-0.33499515,1.3040882,9.920642
GYROSCOPE,1555396098678,4.06,-0.28,-1.19
ACCELEROMETER,1555396098687,-0.33499515,1.3040882,9.920642
GYROSCOPE,1555396098683,4.41,0.56,-1.12
ACCELEROMETER,1555396098692,-0.34935212,1.3686945,9.96132
GYROSCOPE,1555396098688,4.2,0.77,-1.12
ACCELEROMETER,1555396098696,-0.34935212,1.3686945,9.96132
GYROSCOPE,1555396098693,3.85,1.05,-1.05
ACCELEROMETER,1555396098702,-0.33738798,1.3256236,9.939785
GYROSCOPE,1555396098698,3.29,1.33,-0.98
ACCELEROMETER,1555396098707,-0.33738798,1.3256236,9.939785
GYROSCOPE,1555396098702,2.45,1.6800001,-0.91
ACCELEROMETER,1555396098711,-0.3445665,1.3710873,9.939785
GYROSCOPE,1555396098708,1.6800001,1.96,-0.91
ACCELEROMETER,1555396098717,-0.3445665,1.3710873,9.939785
GYROSCOPE,1555396098712,1.26,2.24,-1.05
ACCELEROMETER,1555396098721,-0.37328032,1.3591231,9.927821
GYROSCOPE,1555396098718,0.91,2.59,-1.05
ACCELEROMETER,1555396098727,-0.37328032,1.3591231,9.927821
GYROSCOPE,1555396098722,0.63,2.94,-0.98
ACCELEROMETER,1555396098731,-0.39242288,1.2993027,9.903893
GYROSCOPE,1555396098727,0.42000002,3.22,-0.98
ACCELEROMETER,1555396098736,-0.39242288,1.2993027,9.903893
GYROSCOPE,1555396098733,0.21000001,3.5,-0.84000003
ACCELEROMETER,1555396098742,-0.404387,1.2897315,9.891929
