sensor_type,timestamp_ms,data1,data2,data3
GYROSCOPE,1555399140233,-3.08,-9.17,6.51
ACCELEROMETER,1555399140233,2.3258235,2.1296122,9.497113
GYROSCOPE,1555399140238,-2.73,-9.03,6.02
ACCELEROMETER,1555399140237,2.2995026,2.1224337,9.533006
GYROSCOPE,1555399140243,-2.8,-8.96,5.81
ACCELEROMETER,1555399140243,2.2995026,2.1224337,9.533006
GYROSCOPE,1555399140248,-3.08,-8.75,5.7400002
ACCELEROMETER,1555399140248,2.3234308,2.2061825,9.580862
GYROSCOPE,1555399140253,-3.29,-8.68,5.7400002
ACCELEROMETER,1555399140253,2.3234308,2.2061825,9.580862
GYROSCOPE,1555399140258,-3.3600001,-8.54,5.67
ACCELEROMETER,1555399140258,2.254039,2.2061825,9.564112
GYROSCOPE,1555399140262,-3.64,-8.47,5.6
ACCELEROMETER,1555399140263,2.254039,2.2061825,9.564112
GYROSCOPE,1555399140267,-3.99,-8.33,5.32
ACCELEROMETER,1555399140268,2.2707887,2.239682,9.573684
GYROSCOPE,1555399140273,-4.2,-8.33,5.04
ACCELEROMETER,1555399140273,2.2372892,2.1798613,9.595219
GYROSCOPE,1555399140278,-4.34,-8.33,4.97
ACCELEROMETER,1555399140278,2.2372892,2.1798613,9.595219
GYROSCOPE,1555399140283,-4.48,-8.4,5.04
ACCELEROMETER,1555399140282,2.289931,2.2181466,9.530612
GYROSCOPE,1555399140288,-3.99,-8.26,5.11
ACCELEROMETER,1555399140288,2.289931,2.2181466,9.530612
GYROSCOPE,1555399140293,-3.78,-8.19,4.97
ACCELEROMETER,1555399140293,2.254039,2.1511476,9.513863
GYROSCOPE,1555399140298,-3.92,-8.19,4.76
ACCELEROMETER,1555399140298,2.254039,2.1511476,9.513863
GYROSCOPE,1555399140302,-3.99,-8.12,4.34
ACCELEROMETER,1555399140303,2.3258235,2.158326,9.564112
GYROSCOPE,1555399140308,-3.64,-7.91,3.92
ACCELEROMETER,1555399140308,2.3258235,2.158326,9.564112
GYROSCOPE,1555399140313,-3.29,-7.7,3.57
ACCELEROMETER,1555399140313,2.359323,2.1655045,9.5760765
GYROSCOPE,1555399140318,-2.94,-7.42,3.15
ACCELEROMETER,1555399140318,2.359323,2.1655045,9.5760765
GYROSCOPE,1555399140323,-2.66,-7.07,2.8
ACCELEROMETER,1555399140323,2.4119651,2.1080768,9.585647
GYROSCOPE,1555399140328,-2.45,-6.79,2.52
ACCELEROMETER,1555399140328,2.4119651,2.1080768,9.585647
GYROSCOPE,1555399140333,-2.31,-6.3,2.24
ACCELEROMETER,1555399140333,2.4143581,2.1104696,9.52822
GYROSCOPE,1555399140338,-2.45,-5.81,2.1
ACCELEROMETER,1555399140338,2.4143581,2.1104696,9.52822
GYROSCOPE,1555399140343,-2.8700001,-5.39,1.96
ACCELEROMETER,1555399140343,2.3808584,2.1272192,9.554541
GYROSCOPE,1555399140348,-3.3600001,-4.97,1.82
ACCELEROMETER,1555399140348,2.3808584,2.1272192,9.554541
GYROSCOPE,1555399140353,-3.71,-4.48,1.61
ACCELEROMETER,1555399140353,2.376073,2.143969,9.499505
GYROSCOPE,1555399140358,-4.13,-4.06,1.4
ACCELEROMETER,1555399140358,2.376073,2.143969,9.499505
GYROSCOPE,1555399140363,-4.41,-3.92,1.19
ACCELEROMETER,1555399140363,2.37368,2.0985055,9.427721
GYROSCOPE,1555399140368,-4.76,-3.85,1.05
ACCELEROMETER,1555399140368,2.37368,2.0985055,9.427721
GYROSCOPE,1555399140373,-5.11,-3.99,1.05
ACCELEROMETER,1555399140373,2.3377876,2.2085752,9.372685
GYROSCOPE,1555399140378,-5.32,-4.2,0.91
ACCELEROMETER,1555399140378,2.3377876,2.2085752,9.372685
GYROSCOPE,1555399140383,-5.46,-4.41,0.7
ACCELEROMETER,1555399140382,2.3856442,2.1343977,9.387043
GYROSCOPE,1555399140388,-5.7400002,-4.69,0.56
ACCELEROMETER,1555399140388,2.3856442,2.1343977,9.387043
GYROSCOPE,1555399140393,-5.95,-4.9,0.35
ACCELEROMETER,1555399140393,2.3904297,2.1367905,9.379865
GYROSCOPE,1555399140397,-5.95,-5.18,0.21000001
ACCELEROMETER,1555399140398,2.3904297,2.1367905,9.379865
GYROSCOPE,1555399140403,-5.88,-5.46,-0.07
ACCELEROMETER,1555399140403,2.3688943,2.0123637,9.200402
GYROSCOPE,1555399140408,-5.6,-5.81,-0.42000002
ACCELEROMETER,1555399140408,2.3688943,2.0123637,9.200402
GYROSCOPE,1555399140413,-5.53,-6.02,-0.7
ACCELEROMETER,1555399140413,2.3665016,1.9597217,9.152546
GYROSCOPE,1555399140418,-5.67,-6.37,-0.91
ACCELEROMETER,1555399140418,2.3665016,1.9597217,9.152546
GYROSCOPE,1555399140423,-5.67,-6.65,-1.05
ACCELEROMETER,1555399140423,2.376073,1.9118654,9.205189
GYROSCOPE,1555399140428,-5.81,-7.0,-1.12
ACCELEROMETER,1555399140428,2.376073,1.9118654,9.205189
GYROSCOPE,1555399140433,-5.95,-7.42,-1.12
ACCELEROMETER,1555399140433,2.4095724,1.931008,9.212367
GYROSCOPE,1555399140438,-5.88,-7.77,-1.05
ACCELEROMETER,1555399140438,2.4095724,1.931008,9.212367
GYROSCOPE,1555399140443,-5.6,-8.12,-0.98
ACCELEROMETER,1555399140443,2.4478576,1.8161523,9.226725
GYROSCOPE,1555399140448,-5.18,-8.61,-0.84000003
ACCELEROMETER,1555399140448,2.4478576,1.8161523,9.226725
GYROSCOPE,1555399140453,-4.69,-9.17,-0.7
ACCELEROMETER,1555399140452,2.4502504,1.7946169,9.19801
GYROSCOPE,1555399140458,-3.99,-9.7300005,-0.63
ACCELEROMETER,1555399140458,2.5052853,1.7204396,9.068797
GYROSCOPE,1555399140463,-3.3600001,-10.29,-0.35
ACCELEROMETER,1555399140463,2.5052853,1.7204396,9.068797
GYROSCOPE,1555399140468,-2.59,-10.92,0.49
ACCELEROMETER,1555399140468,2.538785,1.7204396,8.980263
GYROSCOPE,1555399140473,-0.42000002,-11.97,0.98
ACCELEROMETER,1555399140473,2.538785,1.7204396,8.980263
GYROSCOPE,1555399140478,0.63,-12.67,1.33
ACCELEROMETER,1555399140478,2.5579274,1.7347965,8.879765
GYROSCOPE,1555399140483,1.47,-13.37,1.61
ACCELEROMETER,1555399140483,2.5579274,1.7347965,8.879765
GYROSCOPE,1555399140488,2.17,-14.0,1.89
ACCELEROMETER,1555399140488,2.5818558,1.7659031,8.872586
GYROSCOPE,1555399140493,2.73,-14.7,2.31
ACCELEROMETER,1555399140493,2.5818558,1.7659031,8.872586
GYROSCOPE,1555399140498,3.3600001,-15.47,2.59
ACCELEROMETER,1555399140498,2.579463,1.8448663,8.906086
GYROSCOPE,1555399140503,3.43,-16.24,3.01
ACCELEROMETER,1555399140503,2.579463,1.8448663,8.906086
GYROSCOPE,1555399140508,3.3600001,-16.87,3.22
ACCELEROMETER,1555399140508,2.5100708,1.9645073,8.85105
GYROSCOPE,1555399140513,3.29,-17.710001,3.64
ACCELEROMETER,1555399140512,2.5100708,1.9645073,8.85105
GYROSCOPE,1555399140518,3.15,-18.48,3.99
ACCELEROMETER,1555399140518,2.5292134,1.8855443,8.764909
GYROSCOPE,1555399140523,2.8,-19.53,4.48
ACCELEROMETER,1555399140523,2.5292134,1.8855443,8.764909
GYROSCOPE,1555399140528,2.45,-20.51,4.83
ACCELEROMETER,1555399140528,2.538785,1.8855443,8.724231
GYROSCOPE,1555399140533,2.1,-21.63,5.18
GYROSCOPE,1555399140538,1.82,-22.82,5.32
ACCELEROMETER,1555399140533,2.538785,1.8855443,8.724231
ACCELEROMETER,1555399140538,2.5698915,1.9525434,8.712267
GYROSCOPE,1555399140543,1.47,-23.94,5.39
ACCELEROMETER,1555399140543,2.5698915,1.9525434,8.712267
GYROSCOPE,1555399140548,1.05,-25.2,5.39
ACCELEROMETER,1555399140548,2.6009982,2.0315063,8.829515
GYROSCOPE,1555399140553,0.14,-26.67,5.6
ACCELEROMETER,1555399140553,2.6009982,2.0315063,8.829515
GYROSCOPE,1555399140558,-1.26,-28.630001,6.02
ACCELEROMETER,1555399140558,2.658426,2.2133608,9.131011
GYROSCOPE,1555399140563,-3.22,-30.94,6.58
ACCELEROMETER,1555399140563,2.658426,2.2133608,9.131011
GYROSCOPE,1555399140568,-5.6,-33.81,7.35
ACCELEROMETER,1555399140568,2.7732813,2.478964,9.602397
GYROSCOPE,1555399140573,-8.33,-37.1,8.33
ACCELEROMETER,1555399140573,2.7732813,2.478964,9.602397
GYROSCOPE,1555399140578,-10.43,-40.53,9.45
ACCELEROMETER,1555399140578,3.0436704,2.6416762,10.348958
GYROSCOPE,1555399140583,-10.5,-44.31,10.64
ACCELEROMETER,1555399140583,3.0436704,2.6416762,10.348958
GYROSCOPE,1555399140588,-9.31,-48.3,11.83
ACCELEROMETER,1555399140588,3.3619158,2.440679,11.315658
GYROSCOPE,1555399140593,-7.91,-52.78,13.2300005
ACCELEROMETER,1555399140593,3.3619158,2.440679,11.315658
GYROSCOPE,1555399140598,-5.32,-57.33,14.28
ACCELEROMETER,1555399140598,3.7854452,2.9742785,12.916457
GYROSCOPE,1555399140603,-0.42000002,-62.3,15.26
ACCELEROMETER,1555399140603,3.7854452,2.9742785,12.916457
GYROSCOPE,1555399140608,6.16,-67.97,15.96
ACCELEROMETER,1555399140608,4.4889355,4.017549,15.840486
GYROSCOPE,1555399140613,14.63,-74.55,16.17
ACCELEROMETER,1555399140613,4.4889355,4.017549,15.840486
GYROSCOPE,1555399140618,28.210001,-80.99,15.96
ACCELEROMETER,1555399140618,5.922236,5.5202417,22.703102
GYROSCOPE,1555399140623,49.14,-86.24,15.47
ACCELEROMETER,1555399140623,5.922236,5.5202417,22.703102
GYROSCOPE,1555399140628,77.07,-89.11,14.42
ACCELEROMETER,1555399140628,8.11167,7.582855,31.130621
GYROSCOPE,1555399140633,114.45,-90.23,11.55
ACCELEROMETER,1555399140633,8.11167,7.582855,31.130621
GYROSCOPE,1555399140638,158.48,-90.3,6.16
ACCELEROMETER,1555399140638,10.408779,8.707481,33.166912
GYROSCOPE,1555399140643,196.63,-91.28,-0.21000001
ACCELEROMETER,1555399140643,12.583855,8.049455,29.7715
GYROSCOPE,1555399140648,222.67,-91.77,-2.94
ACCELEROMETER,1555399140648,12.583855,8.049455,29.7715
GYROSCOPE,1555399140653,238.07,-89.67,9.7300005
ACCELEROMETER,1555399140653,15.010178,9.767502,23.834906
GYROSCOPE,1555399140658,250.32,-65.1,13.440001
ACCELEROMETER,1555399140658,15.010178,9.767502,23.834906
GYROSCOPE,1555399140663,248.99,-37.94,5.04
ACCELEROMETER,1555399140663,17.75235,13.371094,22.76053
GYROSCOPE,1555399140668,229.32,3.64,-17.01
ACCELEROMETER,1555399140668,17.75235,13.371094,22.76053
GYROSCOPE,1555399140673,191.8,62.3,-51.38
ACCELEROMETER,1555399140673,21.229122,20.800808,30.082567
GYROSCOPE,1555399140678,141.75,135.17,-92.75
ACCELEROMETER,1555399140677,21.229122,20.800808,30.082567
GYROSCOPE,1555399140683,80.43,213.92,-130.69
ACCELEROMETER,1555399140683,22.315462,23.827726,33.56173
GYROSCOPE,1555399140688,11.27,286.09,-155.12
ACCELEROMETER,1555399140688,22.315462,23.827726,33.56173
GYROSCOPE,1555399140693,-63.0,348.04,-162.4
ACCELEROMETER,1555399140693,19.75275,19.637897,30.843485
GYROSCOPE,1555399140698,-135.94,399.63,-159.53
ACCELEROMETER,1555399140698,19.75275,19.637897,30.843485
GYROSCOPE,1555399140703,-202.79,439.25,-154.0
ACCELEROMETER,1555399140702,15.69931,11.952149,24.969107
GYROSCOPE,1555399140708,-260.19,466.97,-151.48
ACCELEROMETER,1555399140708,15.69931,11.952149,24.969107
GYROSCOPE,1555399140713,-304.29,486.15,-154.21
ACCELEROMETER,1555399140713,12.937992,5.575277,17.407784
GYROSCOPE,1555399140718,-333.34,500.85,-161.7
ACCELEROMETER,1555399140718,12.937992,5.575277,17.407784
GYROSCOPE,1555399140723,-346.29,512.68,-171.15
ACCELEROMETER,1555399140723,12.294323,1.6965113,11.018949
GYROSCOPE,1555399140728,-345.87,522.34,-177.8
ACCELEROMETER,1555399140728,12.294323,1.6965113,11.018949
GYROSCOPE,1555399140733,-336.91,529.62,-177.45
ACCELEROMETER,1555399140733,13.064812,-1.8927226,5.24746
GYROSCOPE,1555399140738,-324.03,534.17,-167.3
ACCELEROMETER,1555399140738,13.064812,-1.8927226,5.24746
GYROSCOPE,1555399140743,-310.45,535.99,-147.07
ACCELEROMETER,1555399140743,13.909478,-5.3814583,-1.1150553
GYROSCOPE,1555399140748,-294.98,535.36,-119.49
ACCELEROMETER,1555399140748,13.909478,-5.3814583,-1.1150553
GYROSCOPE,1555399140753,-275.38,532.84,-90.51
ACCELEROMETER,1555399140753,13.660624,-7.1760745,-7.9872413
GYROSCOPE,1555399140758,-251.65,528.57,-66.5
