sensor_type,timestamp_ms,data1,data2,data3
ACCELEROMETER,1555396999203,-0.41874397,2.7972097,9.561719
GYROSCOPE,1555396999197,1.89,-1.47,0.35
ACCELEROMETER,1555396999207,-0.4642076,2.756532,9.542577
GYROSCOPE,1555396999202,1.89,-1.82,0.63
ACCELEROMETER,1555396999212,-0.4642076,2.756532,9.542577
GYROSCOPE,1555396999208,1.82,-2.17,0.91
ACCELEROMETER,1555396999218,-0.4642076,2.756532,9.585647
GYROSCOPE,1555396999213,1.82,-2.52,1.05
ACCELEROMETER,1555396999223,-0.4642076,2.756532,9.585647
GYROSCOPE,1555396999218,1.82,-2.73,1.05
ACCELEROMETER,1555396999228,-0.44745785,2.737389,9.564112
GYROSCOPE,1555396999222,1.89,-2.94,0.84000003
ACCELEROMETER,1555396999232,-0.44745785,2.737389,9.564112
GYROSCOPE,1555396999228,2.17,-2.94,0.49
ACCELEROMETER,1555396999238,-0.40677986,2.6679974,9.571291
GYROSCOPE,1555396999232,2.52,-2.94,0.07
ACCELEROMETER,1555396999243,-0.40677986,2.6679974,9.571291
GYROSCOPE,1555396999238,2.94,-2.94,-0.28
ACCELEROMETER,1555396999248,-0.3613162,2.6129622,9.623933
GYROSCOPE,1555396999243,3.29,-3.01,-0.63
ACCELEROMETER,1555396999253,-0.3613162,2.6129622,9.623933
GYROSCOPE,1555396999248,3.57,-3.08,-1.05
ACCELEROMETER,1555396999258,-0.31345975,2.7134612,9.616754
GYROSCOPE,1555396999253,3.71,-3.01,-1.33
ACCELEROMETER,1555396999263,-0.31345975,2.7134612,9.616754
GYROSCOPE,1555396999258,3.64,-2.94,-1.6800001
ACCELEROMETER,1555396999268,-0.24646074,2.7110682,9.638289
GYROSCOPE,1555396999262,3.3600001,-2.66,-1.75
ACCELEROMETER,1555396999272,-0.24646074,2.7110682,9.638289
GYROSCOPE,1555396999267,3.08,-2.38,-2.1
ACCELEROMETER,1555396999277,-0.22013968,2.7158535,9.657433
GYROSCOPE,1555396999273,2.66,-2.03,-2.1
ACCELEROMETER,1555396999283,-0.15792629,2.6727827,9.62154
GYROSCOPE,1555396999277,2.1,-1.75,-2.17
ACCELEROMETER,1555396999287,-0.15792629,2.6727827,9.62154
GYROSCOPE,1555396999283,1.61,-1.4,-2.31
ACCELEROMETER,1555396999292,-0.1603191,2.5890338,9.647861
GYROSCOPE,1555396999288,0.84000003,-0.98,-2.66
ACCELEROMETER,1555396999298,-0.1603191,2.5890338,9.647861
GYROSCOPE,1555396999293,0.56,-0.98,-2.8
ACCELEROMETER,1555396999303,-0.13878372,2.5363922,9.595219
GYROSCOPE,1555396999298,0.49,0.42000002,-2.8700001
ACCELEROMETER,1555396999308,-0.13878372,2.5363922,9.595219
GYROSCOPE,1555396999303,0.35,0.91,-3.01
ACCELEROMETER,1555396999313,-0.16510476,2.5268207,9.564112
GYROSCOPE,1555396999308,0.21000001,1.4,-3.15
ACCELEROMETER,1555396999318,-0.16510476,2.5268207,9.564112
GYROSCOPE,1555396999313,0.21000001,1.75,-3.08
ACCELEROMETER,1555396999323,-0.19381863,2.5292134,9.566505
GYROSCOPE,1555396999318,0.21000001,2.03,-3.15
ACCELEROMETER,1555396999328,-0.19381863,2.5292134,9.566505
GYROSCOPE,1555396999323,0.07,2.17,-3.01
ACCELEROMETER,1555396999333,-0.21774687,2.5698915,9.597611
GYROSCOPE,1555396999328,-0.07,2.17,-2.8700001
ACCELEROMETER,1555396999338,-0.21774687,2.5698915,9.597611
GYROSCOPE,1555396999333,-0.14,2.17,-2.66
ACCELEROMETER,1555396999343,-0.30388847,2.548356,9.585647
GYROSCOPE,1555396999337,-0.14,2.1,-2.31
ACCELEROMETER,1555396999347,-0.30388847,2.548356,9.585647
GYROSCOPE,1555396999343,0.28,2.03,-2.03
ACCELEROMETER,1555396999352,-0.33499515,2.5268207,9.573684
GYROSCOPE,1555396999347,0.49,1.82,-1.6800001
ACCELEROMETER,1555396999358,-0.33499515,2.5268207,9.573684
GYROSCOPE,1555396999353,0.84000003,1.75,-1.47
ACCELEROMETER,1555396999363,-0.37806597,2.4933212,9.540184
