sensor_type,timestamp_ms,data1,data2,data3
GYROSCOPE,1554972522837,13.93,1.75,-3.64
ACCELEROMETER,1554972522840,-0.076570325,0.5670989,10.504492
GYROSCOPE,1554972522843,14.91,2.03,-4.2
ACCELEROMETER,1554972522845,-0.076570325,0.5670989,10.504492
GYROSCOPE,1554972522848,15.75,2.45,-4.69
ACCELEROMETER,1554972522850,-0.0741775,0.6843473,10.509278
GYROSCOPE,1554972522853,16.38,2.94,-5.18
ACCELEROMETER,1554972522855,-0.0741775,0.6843473,10.509278
GYROSCOPE,1554972522858,16.94,3.3600001,-5.67
ACCELEROMETER,1554972522860,-0.026321048,0.7345965,10.49492
GYROSCOPE,1554972522863,16.73,3.85,-6.37
ACCELEROMETER,1554972522865,-0.026321048,0.7345965,10.49492
GYROSCOPE,1554972522868,16.03,4.27,-7.14
ACCELEROMETER,1554972522869,-0.023928225,0.87338024,10.430314
GYROSCOPE,1554972522872,14.7,4.55,-7.84
ACCELEROMETER,1554972522874,-0.023928225,0.87338024,10.430314
GYROSCOPE,1554972522877,13.2300005,4.76,-8.33
ACCELEROMETER,1554972522879,-0.02871387,0.8542377,10.41835
GYROSCOPE,1554972522883,11.55,4.83,-8.54
ACCELEROMETER,1554972522884,-0.02871387,0.8542377,10.41835
GYROSCOPE,1554972522888,9.52,5.11,-8.75
ACCELEROMETER,1554972522890,0.0741775,0.8685946,10.442278
GYROSCOPE,1554972522893,7.91,5.32,-9.31
ACCELEROMETER,1554972522895,0.0741775,0.8685946,10.442278
GYROSCOPE,1554972522897,6.79,5.6,-9.87
ACCELEROMETER,1554972522899,0.09810572,0.6675976,10.461421
GYROSCOPE,1554972522902,6.02,6.09,-10.29
ACCELEROMETER,1554972522904,0.09810572,0.6675976,10.461421
GYROSCOPE,1554972522908,5.32,6.65,-10.64
ACCELEROMETER,1554972522910,0.18424734,0.38763726,10.432706
GYROSCOPE,1554972522913,5.32,8.12,-10.15
ACCELEROMETER,1554972522915,0.23449662,0.26799613,10.459028
GYROSCOPE,1554972522918,5.32,8.12,-10.15
ACCELEROMETER,1554972522920,0.23449662,0.26799613,10.459028
GYROSCOPE,1554972522922,6.3,9.03,-9.59
ACCELEROMETER,1554972522924,0.23449662,0.26799613,10.459028
GYROSCOPE,1554972522928,7.7,10.08,-9.24
ACCELEROMETER,1554972522930,0.16989039,0.19860429,10.571491
GYROSCOPE,1554972522933,9.24,11.2,-8.75
ACCELEROMETER,1554972522935,0.16989039,0.19860429,10.667203
GYROSCOPE,1554972522936,10.71,12.46,-8.4
ACCELEROMETER,1554972522940,0.12203396,0.25603202,10.667203
GYROSCOPE,1554972522943,11.83,13.51,-8.19
ACCELEROMETER,1554972522945,0.03589234,0.45942193,10.748559
GYROSCOPE,1554972522948,12.53,14.56,-8.05
ACCELEROMETER,1554972522950,0.03589234,0.45942193,10.748559
GYROSCOPE,1554972522952,12.88,15.4,-8.05
ACCELEROMETER,1554972522954,-0.05503492,0.5623133,10.779665
GYROSCOPE,1554972522957,12.32,16.87,-8.19
ACCELEROMETER,1554972522959,-0.05503492,0.5623133,10.779665
GYROSCOPE,1554972522962,11.34,17.5,-8.4
ACCELEROMETER,1554972522965,-0.11006984,0.6723832,10.80838
GYROSCOPE,1554972522968,10.15,18.13,-8.68
ACCELEROMETER,1554972522970,-0.11006984,0.6723832,10.80838
GYROSCOPE,1554972522972,8.89,18.76,-9.17
ACCELEROMETER,1554972522975,-0.21535406,0.808774,10.841879
GYROSCOPE,1554972522978,7.91,19.25,-9.52
ACCELEROMETER,1554972522980,-0.21535406,0.808774,10.841879
GYROSCOPE,1554972522983,7.14,19.81,-9.94
ACCELEROMETER,1554972522985,-0.3086741,0.7800602,10.923235
GYROSCOPE,1554972522987,6.44,20.37,-10.5
ACCELEROMETER,1554972522990,-0.3086741,0.7800602,10.923235
GYROSCOPE,1554972522992,5.6,20.86,-10.92
ACCELEROMETER,1554972522994,-0.36370906,0.7968099,10.91845
GYROSCOPE,1554972522998,4.9,21.42,-11.34
ACCELEROMETER,1554972522999,-0.36370906,0.7968099,10.91845
GYROSCOPE,1554972523003,4.2,21.77,-11.83
ACCELEROMETER,1554972523004,-0.44745785,0.8662018,10.856236
GYROSCOPE,1554972523007,3.22,22.19,-12.25
ACCELEROMETER,1554972523010,-0.44745785,0.8662018,10.856236
GYROSCOPE,1554972523013,1.89,22.54,-12.74
ACCELEROMETER,1554972523015,-0.49292147,0.9954142,10.80838
GYROSCOPE,1554972523018,0.49,22.82,-13.2300005
ACCELEROMETER,1554972523020,-0.49292147,0.9954142,10.80838
GYROSCOPE,1554972523022,-0.98,23.03,-13.79
ACCELEROMETER,1554972523024,-0.63409805,1.1054841,10.703095
GYROSCOPE,1554972523027,-2.8,23.24,-14.35
ACCELEROMETER,1554972523029,-0.63409805,1.1054841,10.703095
GYROSCOPE,1554972523033,-4.62,23.24,-14.91
ACCELEROMETER,1554972523034,-0.6699903,1.174876,10.614561
GYROSCOPE,1554972523037,-6.58,23.17,-15.61
ACCELEROMETER,1554972523039,-0.6699903,1.174876,10.614561
GYROSCOPE,1554972523043,-8.61,23.17,-16.17
ACCELEROMETER,1554972523045,-0.67956156,1.2275181,10.518847
GYROSCOPE,1554972523047,-10.92,22.960001,-16.8
ACCELEROMETER,1554972523049,-0.67956156,1.2275181,10.518847
GYROSCOPE,1554972523053,-13.37,22.82,-17.36
ACCELEROMETER,1554972523055,-0.66041905,1.2179466,10.406385
GYROSCOPE,1554972523058,-15.82,22.54,-17.85
ACCELEROMETER,1554972523060,-0.66041905,1.2179466,10.406385
GYROSCOPE,1554972523062,-17.85,22.26,-18.2
ACCELEROMETER,1554972523064,-0.70348984,1.2681961,10.38485
GYROSCOPE,1554972523067,-19.18,22.12,-18.27
ACCELEROMETER,1554972523069,-0.70348984,1.2681961,10.38485
GYROSCOPE,1554972523073,-20.09,21.98,-18.41
ACCELEROMETER,1554972523075,-0.6843473,1.0265208,10.451849
GYROSCOPE,1554972523078,-20.44,22.12,-18.62
ACCELEROMETER,1554972523079,-0.6843473,1.0265208,10.451849
GYROSCOPE,1554972523083,-20.37,22.4,-19.04
ACCELEROMETER,1554972523084,-0.5766703,0.63409805,10.451849
GYROSCOPE,1554972523087,-19.53,22.82,-19.74
ACCELEROMETER,1554972523089,-0.5766703,0.63409805,10.451849
GYROSCOPE,1554972523092,-17.710001,23.38,-20.65
ACCELEROMETER,1554972523094,-0.54317075,0.35174492,10.449455
GYROSCOPE,1554972523098,-14.9800005,24.08,-21.42
ACCELEROMETER,1554972523100,-0.54317075,0.35174492,10.449455
GYROSCOPE,1554972523103,-11.55,24.92,-21.91
ACCELEROMETER,1554972523105,-0.45942193,0.12921242,10.509278
GYROSCOPE,1554972523108,-7.98,25.83,-22.19
ACCELEROMETER,1554972523110,-0.45942193,0.12921242,10.509278
GYROSCOPE,1554972523112,-1.33,28.14,-22.19
ACCELEROMETER,1554972523114,-0.41395834,0.081355974,10.449455
GYROSCOPE,1554972523118,-1.33,28.14,-22.19
ACCELEROMETER,1554972523120,-0.40677986,0.13639088,10.351351
GYROSCOPE,1554972523122,1.47,29.33,-22.19
ACCELEROMETER,1554972523125,-0.40677986,0.13639088,10.351351
GYROSCOPE,1554972523128,3.57,30.66,-22.26
ACCELEROMETER,1554972523130,-0.44745785,0.31106696,10.1288185
