sensor_type,timestamp_ms,data1,data2,data3
GYROSCOPE,1555398833577,-2.52,-0.84000003,0.21000001
ACCELEROMETER,1555398833577,1.9022939,0.031106694,9.731609
GYROSCOPE,1555398833582,-2.31,-0.84000003,0.07
ACCELEROMETER,1555398833582,1.9357934,-0.050249275,9.765109
GYROSCOPE,1555398833587,-1.96,-0.91,0.07
ACCELEROMETER,1555398833587,1.9357934,-0.050249275,9.765109
GYROSCOPE,1555398833592,-1.47,-1.05,-0.07
ACCELEROMETER,1555398833592,1.9549361,-0.04785645,9.745967
GYROSCOPE,1555398833597,-0.98,-1.26,-0.21000001
ACCELEROMETER,1555398833597,1.9549361,-0.04785645,9.745967
GYROSCOPE,1555398833602,-0.49,-1.33,-0.28
ACCELEROMETER,1555398833602,1.9334008,0.02871387,9.745967
GYROSCOPE,1555398833607,-0.21000001,-1.4,-0.42000002
ACCELEROMETER,1555398833607,1.9334008,0.02871387,9.745967
GYROSCOPE,1555398833612,-0.21000001,-1.33,-0.42000002
ACCELEROMETER,1555398833612,1.9405792,0.09332008,9.710074
GYROSCOPE,1555398833617,-0.14,-1.26,-0.42000002
ACCELEROMETER,1555398833617,1.9405792,0.09332008,9.710074
GYROSCOPE,1555398833622,-0.56,-1.12,-0.49
ACCELEROMETER,1555398833622,1.9980068,0.09810572,9.772287
GYROSCOPE,1555398833627,-1.19,-1.05,-0.42000002
ACCELEROMETER,1555398833627,1.9980068,0.09810572,9.772287
GYROSCOPE,1555398833631,-1.6800001,-0.84000003,-0.28
ACCELEROMETER,1555398833632,2.0386848,0.10049855,9.877571
GYROSCOPE,1555398833637,-2.31,-0.49,-0.21000001
ACCELEROMETER,1555398833637,2.0386848,0.10049855,9.877571
GYROSCOPE,1555398833642,-2.73,-0.14,-0.21000001
ACCELEROMETER,1555398833642,2.050649,0.078963146,9.932607
GYROSCOPE,1555398833647,-3.08,0.14,-0.42000002
ACCELEROMETER,1555398833647,2.050649,0.078963146,9.932607
GYROSCOPE,1555398833652,-3.22,0.49,-0.7
ACCELEROMETER,1555398833652,2.0267208,0.033499517,9.96132
GYROSCOPE,1555398833657,-3.08,0.63,-0.77
ACCELEROMETER,1555398833657,2.0267208,0.033499517,9.96132
GYROSCOPE,1555398833662,-2.8,0.91,-0.7
ACCELEROMETER,1555398833662,1.9669002,-0.016749758,9.963714
GYROSCOPE,1555398833667,-2.59,1.12,-0.63
GYROSCOPE,1555398833672,-2.17,1.19,-0.63
ACCELEROMETER,1555398833667,1.9669002,-0.016749758,9.963714
ACCELEROMETER,1555398833672,1.9334008,-0.02871387,9.934999
GYROSCOPE,1555398833676,-1.75,1.19,-0.77
ACCELEROMETER,1555398833677,1.9334008,-0.02871387,9.934999
GYROSCOPE,1555398833682,-1.26,1.05,-0.77
ACCELEROMETER,1555398833682,1.9286151,-0.119641125,9.930215
GYROSCOPE,1555398833687,-0.7,0.84000003,-0.77
ACCELEROMETER,1555398833687,1.9764715,-0.124426775,9.915856
GYROSCOPE,1555398833692,-0.14,0.7,-0.77
ACCELEROMETER,1555398833692,1.9764715,-0.124426775,9.915856
GYROSCOPE,1555398833697,0.35,0.56,-0.56
ACCELEROMETER,1555398833697,1.9764715,-0.124426775,9.915856
GYROSCOPE,1555398833702,0.63,0.42000002,-0.49
ACCELEROMETER,1555398833702,1.9932213,-0.09810572,9.875179
GYROSCOPE,1555398833707,0.91,0.35,-0.28
ACCELEROMETER,1555398833707,1.9932213,-0.09810572,9.875179
GYROSCOPE,1555398833712,0.98,0.28,-0.14
ACCELEROMETER,1555398833712,1.9597217,-0.15074782,9.848858
GYROSCOPE,1555398833717,1.12,0.14,0.14
ACCELEROMETER,1555398833717,1.9597217,-0.15074782,9.848858
GYROSCOPE,1555398833722,1.19,0.07,0.35
ACCELEROMETER,1555398833722,1.9118654,-0.13399807,9.767502
