sensor_type,timestamp_ms,data1,data2,data3
GYROSCOPE,1554972579275,-2.1,-4.83,1.54
ACCELEROMETER,1554972579277,1.9884356,-2.3234308,9.537791
GYROSCOPE,1554972579281,-2.66,-4.97,1.54
ACCELEROMETER,1554972579282,1.9884356,-2.3234308,9.537791
GYROSCOPE,1554972579285,-2.94,-4.9,1.61
ACCELEROMETER,1554972579287,1.9884356,-2.3521447,9.499505
GYROSCOPE,1554972579291,-3.29,-4.69,1.54
ACCELEROMETER,1554972579292,1.9884356,-2.3521447,9.499505
GYROSCOPE,1554972579295,-3.3600001,-4.48,1.47
ACCELEROMETER,1554972579297,1.9956142,-2.3521447,9.523434
GYROSCOPE,1554972579300,-3.29,-4.2,1.4
ACCELEROMETER,1554972579302,1.9956142,-2.3521447,9.523434
GYROSCOPE,1554972579305,-3.15,-3.78,1.33
ACCELEROMETER,1554972579307,1.9669002,-2.3545375,9.58804
GYROSCOPE,1554972579311,-3.01,-3.5,1.19
ACCELEROMETER,1554972579313,1.9669002,-2.3545375,9.58804
GYROSCOPE,1554972579316,-2.8700001,-3.29,1.05
ACCELEROMETER,1554972579318,2.0003998,-2.4239292,9.5760765
GYROSCOPE,1554972579320,-2.52,-3.22,0.98
ACCELEROMETER,1554972579322,2.0003998,-2.4239292,9.5760765
GYROSCOPE,1554972579326,-2.1,-3.22,0.91
ACCELEROMETER,1554972579328,2.009971,-2.4741786,9.556933
GYROSCOPE,1554972579331,-1.61,-3.43,0.91
ACCELEROMETER,1554972579333,2.009971,-2.4741786,9.556933
GYROSCOPE,1554972579335,-1.05,-3.64,0.91
ACCELEROMETER,1554972579337,1.9812571,-2.4598215,9.525827
GYROSCOPE,1554972579340,-0.28,-3.78,1.05
ACCELEROMETER,1554972579342,1.9812571,-2.4598215,9.525827
GYROSCOPE,1554972579345,0.49,-3.78,1.19
ACCELEROMETER,1554972579347,1.9932213,-2.4071796,9.628718
GYROSCOPE,1554972579351,1.12,-3.92,1.26
ACCELEROMETER,1554972579353,1.9932213,-2.4071796,9.628718
GYROSCOPE,1554972579355,1.4,-3.85,1.19
ACCELEROMETER,1554972579357,1.9860427,-2.3808584,9.585647
GYROSCOPE,1554972579361,1.4,-3.92,1.19
ACCELEROMETER,1554972579363,1.9860427,-2.3808584,9.585647
GYROSCOPE,1554972579366,1.12,-4.06,1.26
